ip,name,code,pfrmat
0.0.0.0,Handl,340,TS
0.0.0.0,ZHOU-SPARKS-X,160,RR
0.0.0.0,ZHOU-SPARKS-X,160,TS
109.110.98.10,Rosetta_at_Kingston,465,TS
109.87.104.172,Victoria,460,TS
12.216.247.73,FUSION,345,QA
12.216.247.73,FUSION,345,TS
12.216.247.73,MULTICOM,290,TS
12.216.247.73,MULTICOM-CLUSTER,420,QA
12.216.247.73,MULTICOM-CLUSTER,420,RR
12.216.247.73,MULTICOM-CLUSTER,420,TS
12.216.247.73,MULTICOM-CONSTRUCT,8,QA
12.216.247.73,MULTICOM-CONSTRUCT,8,RR
12.216.247.73,MULTICOM-CONSTRUCT,8,TS
12.216.247.73,MULTICOM-NOVEL,41,QA
12.216.247.73,MULTICOM-NOVEL,41,RR
12.216.247.73,MULTICOM-NOVEL,41,TS
12.216.247.73,MULTICOM-REFINE,268,QA
12.216.247.73,MULTICOM-REFINE,268,TS
128.112.36.182,FLOUDAS_A1,157,RR
128.112.36.182,FLOUDAS_A1,157,TS
128.112.36.182,FLOUDAS_A2,326,RR
128.112.36.182,FLOUDAS_A2,326,TS
128.112.36.182,FLOUDAS_A3,235,RR
128.112.36.182,FLOUDAS_A3,235,TS
128.112.36.182,FLOUDAS_A4,276,TS
128.112.36.182,FLOUDAS_SERVER,448,TS
128.112.36.182,PRINCETON_MD_REFINE,474,TS
128.112.36.182,PRINCETON_TIGRESS,106,TS
128.114.63.215,Foldit,476,TS
128.119.244.138,RBO_Aleph,479,RR
128.119.244.138,RBO_Aleph,479,TS
128.119.244.138,RBO-Human,287,RR
128.119.244.138,RBO-Human,287,TS
128.120.136.110,DAVIS-QAconsensus,327,QA
128.120.136.110,DAVIS-QAconsensusALL,85,QA
128.123.84.117,Sun_Tsinghua,6,TS
128.186.102.100,Seminoles,377,TS
128.195.24.48,UCI-IGB-CMpro,398,RR
128.206.125.165,MUFOLD-R,310,TS
128.206.20.122,Wang_deep_1,20,QA
128.206.20.122,Wang_deep_2,31,QA
128.206.20.122,Wang_deep_3,83,QA
128.206.20.122,Wang_SVM,363,QA
128.206.20.195,Mufold,144,TS
128.206.20.195,MUFOLD-Server,171,QA
128.206.20.195,MUFOLD-Server,171,TS
128.206.20.94,MUFOLD-DQA,195,QA
128.206.20.94,MUFOLD-DQA,195,TS
128.210.18.239,Kiharalab,333,TS
128.243.220.21,ICOS,455,RR
128.253.86.181,Cornell-Gdansk,155,TS
128.61.146.11,eThread,454,RR
128.61.146.11,eThread,454,TS
128.61.146.11,TASSER,42,TS
128.61.146.11,TASSER-VMT,251,TS
129.170.212.249,PML,282,TS
129.219.45.211,Ozkan,423,TS
129.237.31.171,QUARK,499,TS
129.237.31.171,Zhang,204,TS
129.237.31.171,Zhang-Server,277,TS
129.59.115.3,MeilerLab,80,TS
130.229.1.63,Pcons-net,410,QA
130.229.1.63,Pcons-net,410,RR
130.229.1.63,Pcons-net,410,TS
130.237.163.236,myprotein-me,216,QA
130.237.163.236,myprotein-me,216,RR
130.237.163.236,myprotein-me,216,TS
130.237.163.236,PconsD,253,QA
130.237.163.236,Skwark,358,TS
131.249.80.207,foxchase,92,TS
132.66.212.221,TAU_Course,23,TS
132.72.40.177,keasar,317,QA
132.72.40.177,keasar,317,TS
133.11.224.2,Bilab,322,TS
133.16.120.106,DELCLAB,49,TS
133.65.92.63,ALAdeGAP,437,TS
133.6.71.0,Chicken_George,391,TS
133.91.40.5,chuo-fams,417,TS
